Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
60,5.2,2.7,3.9,1.4,Iris-versicolor
61,5,2,3.5,1,Iris-versicolor
62,5.9,3,4.2,1.5,Iris-versicolor
63,6,2.2,4,1,Iris-versicolor
64,6.1,2.9,4.7,1.4,Iris-versicolor
65,5.6,2.9,3.6,1.3,Iris-versicolor
66,6.7,3.1,4.4,1.4,Iris-versicolor
67,5.6,3,4.5,1.5,Iris-versicolor
68,5.8,2.7,4.1,1,Iris-versicolor
69,6.2,2.2,4.5,1.5,Iris-versicolor
70,5.6,2.5,3.9,1.1,Iris-versicolor
71,5.9,3.2,4.8,1.8,Iris-versicolor
72,6.1,2.8,4,1.3,Iris-versicolor
73,6.3,2.5,4.9,1.5,Iris-versicolor
74,6.1,2.8,4.7,1.2,Iris-versicolor
75,6.4,2.9,4.3,1.3,Iris-versicolor
76,6.6,3,4.4,1.4,Iris-versicolor
77,6.8,2.8,4.8,1.4,Iris-versicolor
78,6.7,3,5,1.7,Iris-versicolor
79,6,2.9,4.5,1.5,Iris-versicolor
80,5.7,2.6,3.5,1,Iris-versicolor
81,5.5,2.4,3.8,1.1,Iris-versicolor
82,5.5,2.4,3.7,1,Iris-versicolor
83,5.8,2.7,3.9,1.2,Iris-versicolor
84,6,2.7,5.1,1.6,Iris-versicolor
85,5.4,3,4.5,1.5,Iris-versicolor
86,6,3.4,4.5,1.6,Iris-versicolor
87,6.7,3.1,4.7,1.5,Iris-versicolor
88,6.3,2.3,4.4,1.3,Iris-versicolor
89,5.6,3,4.1,1.3,Iris-versicolor
